pickup_date,pickup_month,dispatching_base,base_name,active_vehicles,trips
2015-02-17,2015-02,B02765,Grun,578,4907
2015-02-18,2015-02,B02512,Unter,228,1589
2015-02-18,2015-02,B02598,Hinter,1078,9538
2015-02-18,2015-02,B02617,Weiter,1394,12016
2015-02-18,2015-02,B02682,Schmecken,1314,11724
2015-02-18,2015-02,B02764,Danach-NY,3842,32317
2015-02-18,2015-02,B02765,Grun,586,5059
2015-02-19,2015-02,B02512,Unter,250,2120
2015-02-19,2015-02,B02598,Hinter,1127,11739
2015-02-19,2015-02,B02617,Weiter,1452,14750
2015-02-19,2015-02,B02682,Schmecken,1428,14591
2015-02-19,2015-02,B02764,Danach-NY,4110,39110
2015-02-19,2015-02,B02765,Grun,663,6447
2015-02-20,2015-02,B02512,Unter,272,2380
2015-02-20,2015-02,B02598,Hinter,1186,12758
2015-02-20,2015-02,B02617,Weiter,1574,16856
2015-02-20,2015-02,B02682,Schmecken,1497,16342
2015-02-20,2015-02,B02764,Danach-NY,4384,44755
2015-02-20,2015-02,B02765,Grun,736,7824
2015-02-21,2015-02,B02512,Unter,238,2149
2015-02-21,2015-02,B02598,Hinter,1044,12132
2015-02-21,2015-02,B02617,Weiter,1443,16098
2015-02-21,2015-02,B02682,Schmecken,1374,16149
2015-02-21,2015-02,B02764,Danach-NY,3981,44194
2015-02-21,2015-02,B02765,Grun,685,7658
2015-02-22,2015-02,B02512,Unter,199,1312
2015-02-22,2015-02,B02598,Hinter,909,8271
2015-02-22,2015-02,B02617,Weiter,1248,10696
2015-02-22,2015-02,B02682,Schmecken,1220,10970
2015-02-22,2015-02,B02764,Danach-NY,3478,30157
2015-02-22,2015-02,B02765,Grun,566,5034
2015-02-23,2015-02,B02512,Unter,238,1844
2015-02-23,2015-02,B02598,Hinter,966,8943
2015-02-23,2015-02,B02617,Weiter,1332,11720
2015-02-23,2015-02,B02682,Schmecken,1262,11714
2015-02-23,2015-02,B02764,Danach-NY,3734,31173
2015-02-23,2015-02,B02765,Grun,665,5823
2015-02-24,2015-02,B02512,Unter,247,1869
2015-02-24,2015-02,B02598,Hinter,1061,9954
2015-02-24,2015-02,B02617,Weiter,1456,13719
2015-02-24,2015-02,B02682,Schmecken,1346,12497
2015-02-24,2015-02,B02764,Danach-NY,3965,34686
2015-02-24,2015-02,B02765,Grun,698,6390
2015-02-25,2015-02,B02512,Unter,246,1647
2015-02-25,2015-02,B02598,Hinter,1076,9405
2015-02-25,2015-02,B02617,Weiter,1473,12811
2015-02-25,2015-02,B02682,Schmecken,1395,12693
2015-02-25,2015-02,B02764,Danach-NY,3934,31957
2015-02-25,2015-02,B02765,Grun,706,6178
2015-02-26,2015-02,B02512,Unter,243,1797
2015-02-26,2015-02,B02598,Hinter,1134,10661
2015-02-26,2015-02,B02617,Weiter,1539,14461
2015-02-26,2015-02,B02682,Schmecken,1465,13814
2015-02-26,2015-02,B02764,Danach-NY,4101,36091
2015-02-26,2015-02,B02765,Grun,745,6744
2015-02-27,2015-02,B02512,Unter,272,2056
2015-02-27,2015-02,B02598,Hinter,1114,10755
2015-02-27,2015-02,B02617,Weiter,1551,14677
2015-02-27,2015-02,B02682,Schmecken,1510,14975
2015-02-27,2015-02,B02764,Danach-NY,4253,38780
2015-02-27,2015-02,B02765,Grun,786,7563
2015-02-28,2015-02,B02512,Unter,230,1803
2015-02-28,2015-02,B02598,Hinter,994,10319
2015-02-28,2015-02,B02617,Weiter,1372,14022
2015-02-28,2015-02,B02682,Schmecken,1386,14472
2015-02-28,2015-02,B02764,Danach-NY,3952,39812
2015-02-28,2015-02,B02765,Grun,747,7753
