weekday_num,weekday,hour,base,base_name,trips
3,Thursday,9,B02682,Schmecken,7743
3,Thursday,9,B02764,Danach-NY,1632
3,Thursday,10,B02512,Unter,1351
3,Thursday,10,B02598,Hinter,7839
3,Thursday,10,B02617,Weiter,8130
3,Thursday,10,B02682,Schmecken,7053
3,Thursday,10,B02764,Danach-NY,1504
3,Thursday,11,B02512,Unter,1402
3,Thursday,11,B02598,Hinter,7772
3,Thursday,11,B02617,Weiter,8270
3,Thursday,11,B02682,Schmecken,7010
3,Thursday,11,B02764,Danach-NY,1512
3,Thursday,12,B02512,Unter,1440
3,Thursday,12,B02598,Hinter,8293
3,Thursday,12,B02617,Weiter,8353
3,Thursday,12,B02682,Schmecken,6822
3,Thursday,12,B02764,Danach-NY,1557
3,Thursday,13,B02512,Unter,1661
3,Thursday,13,B02598,Hinter,9555
3,Thursday,13,B02617,Weiter,9695
3,Thursday,13,B02682,Schmecken,8166
3,Thursday,13,B02764,Danach-NY,1763
3,Thursday,14,B02512,Unter,1813
3,Thursday,14,B02598,Hinter,11693
3,Thursday,14,B02617,Weiter,11553
3,Thursday,14,B02682,Schmecken,9727
3,Thursday,14,B02764,Danach-NY,1913
3,Thursday,15,B02512,Unter,2195
3,Thursday,15,B02598,Hinter,14243
3,Thursday,15,B02617,Weiter,14004
3,Thursday,15,B02682,Schmecken,11718
3,Thursday,15,B02764,Danach-NY,2282
3,Thursday,16,B02512,Unter,2444
3,Thursday,16,B02598,Hinter,15977
3,Thursday,16,B02617,Weiter,15859
3,Thursday,16,B02682,Schmecken,13640
3,Thursday,16,B02764,Danach-NY,2640
3,Thursday,17,B02512,Unter,2692
3,Thursday,17,B02598,Hinter,17868
3,Thursday,17,B02617,Weiter,17856
3,Thursday,17,B02682,Schmecken,15312
3,Thursday,17,B02764,Danach-NY,2976
3,Thursday,18,B02512,Unter,2586
3,Thursday,18,B02598,Hinter,17707
3,Thursday,18,B02617,Weiter,17854
3,Thursday,18,B02682,Schmecken,14677
3,Thursday,18,B02764,Danach-NY,3001
3,Thursday,19,B02512,Unter,2386
3,Thursday,19,B02598,Hinter,16262
3,Thursday,19,B02617,Weiter,16768
3,Thursday,19,B02682,Schmecken,13684
3,Thursday,19,B02764,Danach-NY,2807
3,Thursday,20,B02512,Unter,2318
3,Thursday,20,B02598,Hinter,16466
3,Thursday,20,B02617,Weiter,16839
3,Thursday,20,B02682,Schmecken,13727
3,Thursday,20,B02764,Danach-NY,2640
3,Thursday,21,B02512,Unter,2409
3,Thursday,21,B02598,Hinter,16390
3,Thursday,21,B02617,Weiter,16614
3,Thursday,21,B02682,Schmecken,13991
3,Thursday,21,B02764,Danach-NY,2549
3,Thursday,22,B02512,Unter,1921
3,Thursday,22,B02598,Hinter,13879
3,Thursday,22,B02617,Weiter,14441
3,Thursday,22,B02682,Schmecken,11784
3,Thursday,22,B02764,Danach-NY,2169
3,Thursday,23,B02512,Unter,985
3,Thursday,23,B02598,Hinter,8430
3,Thursday,23,B02617,Weiter,9462
3,Thursday,23,B02682,Schmecken,7431
3,Thursday,23,B02764,Danach-NY,1456
4,Friday,0,B02512,Unter,473
4,Friday,0,B02598,Hinter,4033
4,Friday,0,B02617,Weiter,4753
4,Friday,0,B02682,Schmecken,3750
4,Friday,0,B02764,Danach-NY,707
4,Friday,1,B02512,Unter,276
4,Friday,1,B02598,Hinter,2415
4,Friday,1,B02617,Weiter,2799
4,Friday,1,B02682,Schmecken,2233
4,Friday,1,B02764,Danach-NY,440
4,Friday,2,B02512,Unter,197
4,Friday,2,B02598,Hinter,1634
4,Friday,2,B02617,Weiter,1809
4,Friday,2,B02682,Schmecken,1431
4,Friday,2,B02764,Danach-NY,279
4,Friday,3,B02512,Unter,242
4,Friday,3,B02598,Hinter,2213
4,Friday,3,B02617,Weiter,2194
4,Friday,3,B02682,Schmecken,1926
4,Friday,3,B02764,Danach-NY,355
4,Friday,4,B02512,Unter,300
4,Friday,4,B02598,Hinter,2752
4,Friday,4,B02617,Weiter,2732
4,Friday,4,B02682,Schmecken,2526
4,Friday,4,B02764,Danach-NY,496
4,Friday,5,B02512,Unter,511
4,Friday,5,B02598,Hinter,3867
4,Friday,5,B02617,Weiter,4335
4,Friday,5,B02682,Schmecken,3994
4,Friday,5,B02764,Danach-NY,743
4,Friday,6,B02512,Unter,1015
4,Friday,6,B02598,Hinter,7001
4,Friday,6,B02617,Weiter,7206
4,Friday,6,B02682,Schmecken,6990
4,Friday,6,B02764,Danach-NY,1200
4,Friday,7,B02512,Unter,1443
4,Friday,7,B02598,Hinter,9727
4,Friday,7,B02617,Weiter,9875
4,Friday,7,B02682,Schmecken,9428
4,Friday,7,B02764,Danach-NY,1588
4,Friday,8,B02512,Unter,1379
4,Friday,8,B02598,Hinter,9652
4,Friday,8,B02617,Weiter,9739
4,Friday,8,B02682,Schmecken,9071
4,Friday,8,B02764,Danach-NY,1668
4,Friday,9,B02512,Unter,1162
4,Friday,9,B02598,Hinter,7666
4,Friday,9,B02617,Weiter,7856
4,Friday,9,B02682,Schmecken,7003
4,Friday,9,B02764,Danach-NY,1543
4,Friday,10,B02512,Unter,1154
4,Friday,10,B02598,Hinter,7162
4,Friday,10,B02617,Weiter,7752
4,Friday,10,B02682,Schmecken,6601
4,Friday,10,B02764,Danach-NY,1507
4,Friday,11,B02512,Unter,1335
4,Friday,11,B02598,Hinter,7461
4,Friday,11,B02617,Weiter,8084
4,Friday,11,B02682,Schmecken,6824
4,Friday,11,B02764,Danach-NY,1484
4,Friday,12,B02512,Unter,1460
4,Friday,12,B02598,Hinter,7924
4,Friday,12,B02617,Weiter,8089
4,Friday,12,B02682,Schmecken,6911
