pickup_date,pickup_month,company,trips
2017-08-30,2017-08,Uber,89380
2017-08-31,2017-08,Uber,96374
2017-09-01,2017-09,Uber,99097
2017-09-02,2017-09,Uber,115945
2017-09-03,2017-09,Uber,101514
2017-09-04,2017-09,Uber,87928
2017-09-05,2017-09,Uber,88986
2017-09-06,2017-09,Uber,106243
2017-09-07,2017-09,Uber,104217
2017-09-08,2017-09,Uber,115208
2017-09-09,2017-09,Uber,130260
2017-09-10,2017-09,Uber,115006
2017-09-11,2017-09,Uber,93441
2017-09-12,2017-09,Uber,96524
2017-09-13,2017-09,Uber,101922
2017-09-14,2017-09,Uber,107660
2017-09-15,2017-09,Uber,112001
2017-09-16,2017-09,Uber,127451
2017-09-17,2017-09,Uber,115021
2017-09-18,2017-09,Uber,85355
2017-09-19,2017-09,Uber,91660
2017-09-20,2017-09,Uber,88090
2017-09-21,2017-09,Uber,88447
2017-09-22,2017-09,Uber,102189
2017-09-23,2017-09,Uber,124253
2017-09-24,2017-09,Uber,110045
2017-09-25,2017-09,Uber,86410
2017-09-26,2017-09,Uber,89329
2017-09-27,2017-09,Uber,95463
2017-09-28,2017-09,Uber,100615
2017-09-29,2017-09,Uber,105458
2017-09-30,2017-09,Uber,121016
2017-10-01,2017-10,Uber,104567
2017-10-02,2017-10,Uber,79945
2017-10-03,2017-10,Uber,83848
2017-10-04,2017-10,Uber,90931
2017-10-05,2017-10,Uber,97714
2017-10-06,2017-10,Uber,107063
2017-10-07,2017-10,Uber,123513
2017-10-08,2017-10,Uber,110389
2017-10-09,2017-10,Uber,87577
2017-10-10,2017-10,Uber,89195
2017-10-11,2017-10,Uber,91213
2017-10-12,2017-10,Uber,98996
2017-10-13,2017-10,Uber,109028
2017-10-14,2017-10,Uber,125137
2017-10-15,2017-10,Uber,108690
2017-10-16,2017-10,Uber,88230
2017-10-17,2017-10,Uber,89927
2017-10-18,2017-10,Uber,93209
2017-10-19,2017-10,Uber,100275
2017-10-20,2017-10,Uber,111709
2017-10-21,2017-10,Uber,123454
2017-10-22,2017-10,Uber,105678
2017-10-23,2017-10,Uber,85687
2017-10-24,2017-10,Uber,96045
2017-10-25,2017-10,Uber,96366
2017-10-26,2017-10,Uber,107571
2017-10-27,2017-10,Uber,118927
2017-10-28,2017-10,Uber,139263
2017-10-29,2017-10,Uber,140937
