pickup_date,pickup_month,company,borough,trips
2015-02-22,2015-02,Uber,Manhattan,45682
2015-02-22,2015-02,Uber,Queens,6877
2015-02-22,2015-02,Uber,Staten Island,19
2015-02-22,2015-02,Uber,Unknown,32
2015-02-23,2015-02,Uber,Bronx,946
2015-02-23,2015-02,Uber,Brooklyn,9556
2015-02-23,2015-02,Uber,Manhattan,52168
2015-02-23,2015-02,Uber,Queens,7100
2015-02-23,2015-02,Uber,Staten Island,35
2015-02-23,2015-02,Uber,Unknown,24
2015-02-24,2015-02,Uber,Bronx,985
2015-02-24,2015-02,Uber,Brooklyn,9579
2015-02-24,2015-02,Uber,Manhattan,61189
2015-02-24,2015-02,Uber,Queens,5882
2015-02-24,2015-02,Uber,Staten Island,35
2015-02-24,2015-02,Uber,Unknown,28
2015-02-25,2015-02,Uber,Bronx,1052
2015-02-25,2015-02,Uber,Brooklyn,9423
2015-02-25,2015-02,Uber,EWR,1
2015-02-25,2015-02,Uber,Manhattan,57045
2015-02-25,2015-02,Uber,Queens,5808
2015-02-25,2015-02,Uber,Staten Island,24
2015-02-25,2015-02,Uber,Unknown,23
2015-02-26,2015-02,Uber,Bronx,1034
2015-02-26,2015-02,Uber,Brooklyn,10432
2015-02-26,2015-02,Uber,EWR,2
2015-02-26,2015-02,Uber,Manhattan,64061
2015-02-26,2015-02,Uber,Queens,6340
2015-02-26,2015-02,Uber,Staten Island,47
2015-02-26,2015-02,Uber,Unknown,30
2015-02-27,2015-02,Uber,Bronx,1176
2015-02-27,2015-02,Uber,Brooklyn,12122
2015-02-27,2015-02,Uber,EWR,1
2015-02-27,2015-02,Uber,Manhattan,66690
2015-02-27,2015-02,Uber,Queens,7021
2015-02-27,2015-02,Uber,Staten Island,39
2015-02-27,2015-02,Uber,Unknown,47
2015-02-28,2015-02,Uber,Bronx,1300
2015-02-28,2015-02,Uber,Brooklyn,15793
2015-02-28,2015-02,Uber,Manhattan,62243
2015-02-28,2015-02,Uber,Queens,7170
2015-02-28,2015-02,Uber,Staten Island,33
2015-02-28,2015-02,Uber,Unknown,29
2015-03-01,2015-03,Uber,Bronx,1080
2015-03-01,2015-03,Uber,Brooklyn,12870
2015-03-01,2015-03,Uber,Manhattan,49565
2015-03-01,2015-03,Uber,Queens,7251
2015-03-01,2015-03,Uber,Staten Island,42
2015-03-01,2015-03,Uber,Unknown,25
2015-03-02,2015-03,Uber,Bronx,905
2015-03-02,2015-03,Uber,Brooklyn,7892
2015-03-02,2015-03,Uber,Manhattan,41085
2015-03-02,2015-03,Uber,Queens,7517
2015-03-02,2015-03,Uber,Staten Island,30
2015-03-02,2015-03,Uber,Unknown,25
2015-03-03,2015-03,Uber,Bronx,960
2015-03-03,2015-03,Uber,Brooklyn,8842
2015-03-03,2015-03,Uber,Manhattan,59317
2015-03-03,2015-03,Uber,Queens,5889
2015-03-03,2015-03,Uber,Staten Island,15
2015-03-03,2015-03,Uber,Unknown,20
2015-03-04,2015-03,Uber,Bronx,968
2015-03-04,2015-03,Uber,Brooklyn,9454
2015-03-04,2015-03,Uber,EWR,3
2015-03-04,2015-03,Uber,Manhattan,55582
2015-03-04,2015-03,Uber,Queens,5864
2015-03-04,2015-03,Uber,Staten Island,33
2015-03-04,2015-03,Uber,Unknown,22
2015-03-05,2015-03,Uber,Bronx,852
2015-03-05,2015-03,Uber,Brooklyn,8927
2015-03-05,2015-03,Uber,EWR,2
2015-03-05,2015-03,Uber,Manhattan,62421
2015-03-05,2015-03,Uber,Queens,5187
2015-03-05,2015-03,Uber,Staten Island,15
2015-03-05,2015-03,Uber,Unknown,38
2015-03-06,2015-03,Uber,Bronx,1112
2015-03-06,2015-03,Uber,Brooklyn,10968
2015-03-06,2015-03,Uber,EWR,1
2015-03-06,2015-03,Uber,Manhattan,62832
2015-03-06,2015-03,Uber,Queens,8135
2015-03-06,2015-03,Uber,Staten Island,32
2015-03-06,2015-03,Uber,Unknown,43
2015-03-07,2015-03,Uber,Bronx,1248
2015-03-07,2015-03,Uber,Brooklyn,14292
2015-03-07,2015-03,Uber,Manhattan,58813
2015-03-07,2015-03,Uber,Queens,7040
2015-03-07,2015-03,Uber,Staten Island,33
2015-03-07,2015-03,Uber,Unknown,33
2015-03-08,2015-03,Uber,Bronx,957
2015-03-08,2015-03,Uber,Brooklyn,11635
2015-03-08,2015-03,Uber,Manhattan,41892
2015-03-08,2015-03,Uber,Queens,7286
2015-03-08,2015-03,Uber,Staten Island,17
2015-03-08,2015-03,Uber,Unknown,32
2015-03-09,2015-03,Uber,Bronx,839
2015-03-09,2015-03,Uber,Brooklyn,7603
2015-03-09,2015-03,Uber,Manhattan,38861
2015-03-09,2015-03,Uber,Queens,6559
2015-03-09,2015-03,Uber,Staten Island,25
2015-03-09,2015-03,Uber,Unknown,27
2015-03-10,2015-03,Uber,Bronx,914
2015-03-10,2015-03,Uber,Brooklyn,9228
2015-03-10,2015-03,Uber,EWR,1
2015-03-10,2015-03,Uber,Manhattan,56540
2015-03-10,2015-03,Uber,Queens,5449
2015-03-10,2015-03,Uber,Staten Island,16
2015-03-10,2015-03,Uber,Unknown,30
2015-03-11,2015-03,Uber,Bronx,877
2015-03-11,2015-03,Uber,Brooklyn,8662
2015-03-11,2015-03,Uber,EWR,1
2015-03-11,2015-03,Uber,Manhattan,49794
2015-03-11,2015-03,Uber,Queens,5916
2015-03-11,2015-03,Uber,Staten Island,29
2015-03-11,2015-03,Uber,Unknown,32
2015-03-12,2015-03,Uber,Bronx,944
2015-03-12,2015-03,Uber,Brooklyn,9744
2015-03-12,2015-03,Uber,Manhattan,56819
2015-03-12,2015-03,Uber,Queens,6479
2015-03-12,2015-03,Uber,Staten Island,27
2015-03-12,2015-03,Uber,Unknown,25
2015-03-13,2015-03,Uber,Bronx,1158
2015-03-13,2015-03,Uber,Brooklyn,11906
2015-03-13,2015-03,Uber,Manhattan,59181
2015-03-13,2015-03,Uber,Queens,6947
2015-03-13,2015-03,Uber,Staten Island,36
2015-03-13,2015-03,Uber,Unknown,37
2015-03-14,2015-03,Uber,Bronx,1265
2015-03-14,2015-03,Uber,Brooklyn,16328
2015-03-14,2015-03,Uber,Manhattan,65884
2015-03-14,2015-03,Uber,Queens,7388
2015-03-14,2015-03,Uber,Staten Island,47
2015-03-14,2015-03,Uber,Unknown,38
2015-03-15,2015-03,Uber,Bronx,1128
2015-03-15,2015-03,Uber,Brooklyn,12603
2015-03-15,2015-03,Uber,EWR,1
2015-03-15,2015-03,Uber,Manhattan,42383
2015-03-15,2015-03,Uber,Queens,7262
2015-03-15,2015-03,Uber,Staten Island,20
2015-03-15,2015-03,Uber,Unknown,20
2015-03-16,2015-03,Uber,Bronx,799
2015-03-16,2015-03,Uber,Brooklyn,8300
2015-03-16,2015-03,Uber,Manhattan,38234
2015-03-16,2015-03,Uber,Queens,7424
2015-03-16,2015-03,Uber,Staten Island,35
2015-03-16,2015-03,Uber,Unknown,24
2015-03-17,2015-03,Uber,Bronx,869
2015-03-17,2015-03,Uber,Brooklyn,9574
2015-03-17,2015-03,Uber,Manhattan,46535
2015-03-17,2015-03,Uber,Queens,5843
2015-03-17,2015-03,Uber,Staten Island,28
2015-03-17,2015-03,Uber,Unknown,32
2015-03-18,2015-03,Uber,Bronx,972
2015-03-18,2015-03,Uber,Brooklyn,10090
2015-03-18,2015-03,Uber,Manhattan,52745
2015-03-18,2015-03,Uber,Queens,6509
2015-03-18,2015-03,Uber,Staten Island,37
2015-03-18,2015-03,Uber,Unknown,26
2015-03-19,2015-03,Uber,Bronx,951
2015-03-19,2015-03,Uber,Brooklyn,10371
2015-03-19,2015-03,Uber,Manhattan,57014
2015-03-19,2015-03,Uber,Queens,7443
2015-03-19,2015-03,Uber,Staten Island,25
2015-03-19,2015-03,Uber,Unknown,27
2015-03-20,2015-03,Uber,Bronx,1327
2015-03-20,2015-03,Uber,Brooklyn,13301
2015-03-20,2015-03,Uber,Manhattan,72860
2015-03-20,2015-03,Uber,Queens,7692
2015-03-20,2015-03,Uber,Staten Island,44
2015-03-20,2015-03,Uber,Unknown,39
2015-03-21,2015-03,Uber,Bronx,1262
2015-03-21,2015-03,Uber,Brooklyn,15506
2015-03-21,2015-03,Uber,EWR,1
2015-03-21,2015-03,Uber,Manhattan,55568
2015-03-21,2015-03,Uber,Queens,8306
