pickup_date,pickup_month,affiliated_base,trips
2015-02-05,2015-02,B02148,2
2015-02-05,2015-02,B02155,9
2015-02-05,2015-02,B02160,1
2015-02-05,2015-02,B02173,16
2015-02-05,2015-02,B02202,17
2015-02-05,2015-02,B02207,149
2015-02-05,2015-02,B02216,156
2015-02-05,2015-02,B02217,6
2015-02-05,2015-02,B02222,5
2015-02-05,2015-02,B02225,14
2015-02-05,2015-02,B02241,11
2015-02-05,2015-02,B02243,5
2015-02-05,2015-02,B02252,4
2015-02-05,2015-02,B02253,22
2015-02-05,2015-02,B02254,21
2015-02-05,2015-02,B02273,10
2015-02-05,2015-02,B02277,8
2015-02-05,2015-02,B02280,24
2015-02-05,2015-02,B02285,11
2015-02-05,2015-02,B02306,3
2015-02-05,2015-02,B02330,2
2015-02-05,2015-02,B02331,2
2015-02-05,2015-02,B02334,19
2015-02-05,2015-02,B02339,2
2015-02-05,2015-02,B02342,17
2015-02-05,2015-02,B02345,48
2015-02-05,2015-02,B02352,2
2015-02-05,2015-02,B02356,5
2015-02-05,2015-02,B02360,1
2015-02-05,2015-02,B02376,14
2015-02-05,2015-02,B02382,29
2015-02-05,2015-02,B02394,5
2015-02-05,2015-02,B02401,70
2015-02-05,2015-02,B02408,21
2015-02-05,2015-02,B02410,13
2015-02-05,2015-02,B02424,5
2015-02-05,2015-02,B02429,27
2015-02-05,2015-02,B02440,4
2015-02-05,2015-02,B02453,56
2015-02-05,2015-02,B02455,7
2015-02-05,2015-02,B02459,2
2015-02-05,2015-02,B02460,2
2015-02-05,2015-02,B02468,12
2015-02-05,2015-02,B02469,6
2015-02-05,2015-02,B02472,7
2015-02-05,2015-02,B02480,1
2015-02-05,2015-02,B02489,8
2015-02-05,2015-02,B02492,17
2015-02-05,2015-02,B02499,3
2015-02-05,2015-02,B02503,8
2015-02-05,2015-02,B02507,24
2015-02-05,2015-02,B02510,20
2015-02-05,2015-02,B02512,1569
2015-02-05,2015-02,B02514,4
2015-02-05,2015-02,B02515,17
2015-02-05,2015-02,B02522,8
2015-02-05,2015-02,B02524,1
2015-02-05,2015-02,B02532,21
2015-02-05,2015-02,B02533,22
2015-02-05,2015-02,B02534,11
2015-02-05,2015-02,B02535,5
2015-02-05,2015-02,B02554,5
2015-02-05,2015-02,B02579,2
2015-02-05,2015-02,B02587,2
2015-02-05,2015-02,B02588,13
2015-02-05,2015-02,B02598,9954
2015-02-05,2015-02,B02609,27
2015-02-05,2015-02,B02610,5
2015-02-05,2015-02,B02617,13742
2015-02-05,2015-02,B02630,5
2015-02-05,2015-02,B02633,6
2015-02-05,2015-02,B02638,22
2015-02-05,2015-02,B02642,7
2015-02-05,2015-02,B02644,56
2015-02-05,2015-02,B02646,55
2015-02-05,2015-02,B02651,60
2015-02-05,2015-02,B02655,29
2015-02-05,2015-02,B02668,18
2015-02-05,2015-02,B02670,15
2015-02-05,2015-02,B02680,9
2015-02-05,2015-02,B02682,11214
2015-02-05,2015-02,B02683,10
2015-02-05,2015-02,B02686,6
2015-02-05,2015-02,B02689,20
2015-02-05,2015-02,B02691,5
2015-02-05,2015-02,B02699,13
2015-02-05,2015-02,B02712,13
2015-02-05,2015-02,B02715,210
2015-02-05,2015-02,B02718,1
2015-02-05,2015-02,B02724,7
2015-02-05,2015-02,B02725,9
2015-02-05,2015-02,B02729,1117
2015-02-05,2015-02,B02732,7
2015-02-05,2015-02,B02737,1
2015-02-05,2015-02,B02739,9
2015-02-05,2015-02,B02747,8
2015-02-05,2015-02,B02749,84
2015-02-05,2015-02,B02763,36
2015-02-05,2015-02,B02764,30369
2015-02-05,2015-02,B02765,3270
2015-02-05,2015-02,B02767,16
2015-02-05,2015-02,B02769,22
2015-02-05,2015-02,B02770,32
2015-02-05,2015-02,B02771,18
2015-02-05,2015-02,B02772,15
2015-02-05,2015-02,B02774,438
2015-02-05,2015-02,B02780,12
2015-02-05,2015-02,B02787,23
2015-02-05,2015-02,B02788,247
2015-02-05,2015-02,B02789,203
2015-02-05,2015-02,B02795,21
2015-02-05,2015-02,B02800,4
2015-02-05,2015-02,B02806,37
2015-02-05,2015-02,B02809,11
2015-02-05,2015-02,B02810,13
2015-02-05,2015-02,B02814,1
2015-02-05,2015-02,B02815,47
2015-02-05,2015-02,B02818,143
2015-02-05,2015-02,B02822,23
2015-02-05,2015-02,B02826,3
2015-02-05,2015-02,B02834,13
2015-02-05,2015-02,B02835,11
2015-02-05,2015-02,,2969
2015-02-06,2015-02,B00013,110
2015-02-06,2015-02,B00014,118
2015-02-06,2015-02,B00035,7
2015-02-06,2015-02,B00053,140
2015-02-06,2015-02,B00083,13
2015-02-06,2015-02,B00084,9
2015-02-06,2015-02,B00111,542
2015-02-06,2015-02,B00202,3
2015-02-06,2015-02,B00208,3
2015-02-06,2015-02,B00227,227
2015-02-06,2015-02,B00235,20
2015-02-06,2015-02,B00254,142
2015-02-06,2015-02,B00271,206
2015-02-06,2015-02,B00272,310
2015-02-06,2015-02,B00277,48
2015-02-06,2015-02,B00280,106
2015-02-06,2015-02,B00296,68
2015-02-06,2015-02,B00381,42
2015-02-06,2015-02,B00411,28
2015-02-06,2015-02,B00412,112
2015-02-06,2015-02,B00446,194
2015-02-06,2015-02,B00448,355
2015-02-06,2015-02,B00477,292
2015-02-06,2015-02,B00608,26
2015-02-06,2015-02,B00628,281
2015-02-06,2015-02,B00789,414
2015-02-06,2015-02,B00837,83
2015-02-06,2015-02,B00888,48
2015-02-06,2015-02,B01087,307
2015-02-06,2015-02,B01183,16
2015-02-06,2015-02,B01197,173
2015-02-06,2015-02,B01309,6
2015-02-06,2015-02,B01367,123
2015-02-06,2015-02,B01779,57
2015-02-06,2015-02,B01803,13
2015-02-06,2015-02,B01871,6
2015-02-06,2015-02,B01875,38
2015-02-06,2015-02,B01876,5
2015-02-06,2015-02,B01877,41
2015-02-06,2015-02,B01899,132
2015-02-06,2015-02,B01907,15
2015-02-06,2015-02,B01912,18
2015-02-06,2015-02,B01938,3
2015-02-06,2015-02,B01944,5
2015-02-06,2015-02,B01949,172
2015-02-06,2015-02,B01964,1
2015-02-06,2015-02,B01970,15
2015-02-06,2015-02,B01976,39
2015-02-06,2015-02,B01985,25
2015-02-06,2015-02,B01989,8
2015-02-06,2015-02,B01998,384
2015-02-06,2015-02,B02003,109
2015-02-06,2015-02,B02005,20
2015-02-06,2015-02,B02016,34
2015-02-06,2015-02,B02022,17
2015-02-06,2015-02,B02067,112
2015-02-06,2015-02,B02073,5
2015-02-06,2015-02,B02096,31
2015-02-06,2015-02,B02101,128
2015-02-06,2015-02,B02110,20
2015-02-06,2015-02,B02133,10
2015-02-06,2015-02,B02155,8
2015-02-06,2015-02,B02160,1
2015-02-06,2015-02,B02173,12
2015-02-06,2015-02,B02175,5
2015-02-06,2015-02,B02184,6
2015-02-06,2015-02,B02202,32
2015-02-06,2015-02,B02207,141
2015-02-06,2015-02,B02216,179
2015-02-06,2015-02,B02222,11
2015-02-06,2015-02,B02225,26
2015-02-06,2015-02,B02240,3
2015-02-06,2015-02,B02241,18
2015-02-06,2015-02,B02252,7
2015-02-06,2015-02,B02253,32
2015-02-06,2015-02,B02254,17
2015-02-06,2015-02,B02273,15
2015-02-06,2015-02,B02277,17
2015-02-06,2015-02,B02280,14
2015-02-06,2015-02,B02285,28
2015-02-06,2015-02,B02302,3
2015-02-06,2015-02,B02306,17
2015-02-06,2015-02,B02330,4
2015-02-06,2015-02,B02331,3
2015-02-06,2015-02,B02334,5
2015-02-06,2015-02,B02339,1
2015-02-06,2015-02,B02342,10
2015-02-06,2015-02,B02345,31
2015-02-06,2015-02,B02352,3
2015-02-06,2015-02,B02356,5
2015-02-06,2015-02,B02360,2
2015-02-06,2015-02,B02382,35
2015-02-06,2015-02,B02394,8
2015-02-06,2015-02,B02401,71
2015-02-06,2015-02,B02408,20
2015-02-06,2015-02,B02410,14
2015-02-06,2015-02,B02418,6
2015-02-06,2015-02,B02424,4
2015-02-06,2015-02,B02429,24
2015-02-06,2015-02,B02440,3
2015-02-06,2015-02,B02453,61
2015-02-06,2015-02,B02455,2
2015-02-06,2015-02,B02459,9
2015-02-06,2015-02,B02460,1
2015-02-06,2015-02,B02468,11
2015-02-06,2015-02,B02469,8
2015-02-06,2015-02,B02472,4
2015-02-06,2015-02,B02492,13
2015-02-06,2015-02,B02499,5
2015-02-06,2015-02,B02507,19
2015-02-06,2015-02,B02510,23
2015-02-06,2015-02,B02512,1576
2015-02-06,2015-02,B02513,7
2015-02-06,2015-02,B02514,8
2015-02-06,2015-02,B02515,14
2015-02-06,2015-02,B02522,14
2015-02-06,2015-02,B02524,5
2015-02-06,2015-02,B02532,33
2015-02-06,2015-02,B02533,19
2015-02-06,2015-02,B02534,11
2015-02-06,2015-02,B02554,13
2015-02-06,2015-02,B02587,14
2015-02-06,2015-02,B02588,12
2015-02-06,2015-02,B02598,10113
2015-02-06,2015-02,B02609,49
2015-02-06,2015-02,B02612,2
2015-02-06,2015-02,B02617,14382
2015-02-06,2015-02,B02630,5
2015-02-06,2015-02,B02633,5
2015-02-06,2015-02,B02638,9
2015-02-06,2015-02,B02642,11
2015-02-06,2015-02,B02644,57
2015-02-06,2015-02,B02646,62
2015-02-06,2015-02,B02651,57
2015-02-06,2015-02,B02655,39
2015-02-06,2015-02,B02664,12
2015-02-06,2015-02,B02668,16
2015-02-06,2015-02,B02670,4
2015-02-06,2015-02,B02680,10
2015-02-06,2015-02,B02682,11968
2015-02-06,2015-02,B02683,13
2015-02-06,2015-02,B02686,2
2015-02-06,2015-02,B02689,19
2015-02-06,2015-02,B02691,5
2015-02-06,2015-02,B02699,16
2015-02-06,2015-02,B02700,3
2015-02-06,2015-02,B02712,15
2015-02-06,2015-02,B02715,230
