pickup_date,pickup_month,borough,trips
2015-03-01,2015-03,Unknown,25
2015-03-02,2015-03,Bronx,905
2015-03-02,2015-03,Brooklyn,7892
2015-03-02,2015-03,Manhattan,41085
2015-03-02,2015-03,Queens,7523
2015-03-02,2015-03,Staten Island,30
2015-03-02,2015-03,Unknown,25
2015-03-03,2015-03,Bronx,960
2015-03-03,2015-03,Brooklyn,8842
2015-03-03,2015-03,Manhattan,59321
2015-03-03,2015-03,Queens,5890
2015-03-03,2015-03,Staten Island,15
2015-03-03,2015-03,Unknown,20
2015-03-04,2015-03,Bronx,968
2015-03-04,2015-03,Brooklyn,9456
2015-03-04,2015-03,EWR,3
2015-03-04,2015-03,Manhattan,55584
2015-03-04,2015-03,Queens,5865
2015-03-04,2015-03,Staten Island,33
2015-03-04,2015-03,Unknown,22
2015-03-05,2015-03,Bronx,852
2015-03-05,2015-03,Brooklyn,8928
2015-03-05,2015-03,EWR,2
2015-03-05,2015-03,Manhattan,62423
2015-03-05,2015-03,Queens,5188
2015-03-05,2015-03,Staten Island,15
2015-03-05,2015-03,Unknown,38
2015-03-06,2015-03,Bronx,1112
2015-03-06,2015-03,Brooklyn,10969
2015-03-06,2015-03,EWR,1
2015-03-06,2015-03,Manhattan,62838
2015-03-06,2015-03,Queens,8139
2015-03-06,2015-03,Staten Island,32
2015-03-06,2015-03,Unknown,43
2015-03-07,2015-03,Bronx,1248
2015-03-07,2015-03,Brooklyn,14292
2015-03-07,2015-03,Manhattan,58817
2015-03-07,2015-03,Queens,7045
2015-03-07,2015-03,Staten Island,33
2015-03-07,2015-03,Unknown,33
2015-03-08,2015-03,Bronx,957
2015-03-08,2015-03,Brooklyn,11635
2015-03-08,2015-03,Manhattan,41895
2015-03-08,2015-03,Queens,7288
2015-03-08,2015-03,Staten Island,17
2015-03-08,2015-03,Unknown,32
2015-03-09,2015-03,Bronx,839
2015-03-09,2015-03,Brooklyn,7603
2015-03-09,2015-03,Manhattan,38862
2015-03-09,2015-03,Queens,6564
2015-03-09,2015-03,Staten Island,25
2015-03-09,2015-03,Unknown,27
2015-03-10,2015-03,Bronx,914
2015-03-10,2015-03,Brooklyn,9229
2015-03-10,2015-03,EWR,1
2015-03-10,2015-03,Manhattan,56543
2015-03-10,2015-03,Queens,5452
2015-03-10,2015-03,Staten Island,16
2015-03-10,2015-03,Unknown,30
2015-03-11,2015-03,Bronx,877
2015-03-11,2015-03,Brooklyn,8663
2015-03-11,2015-03,EWR,1
2015-03-11,2015-03,Manhattan,49796
2015-03-11,2015-03,Queens,5917
2015-03-11,2015-03,Staten Island,29
2015-03-11,2015-03,Unknown,32
2015-03-12,2015-03,Bronx,944
2015-03-12,2015-03,Brooklyn,9744
2015-03-12,2015-03,Manhattan,56819
2015-03-12,2015-03,Queens,6479
2015-03-12,2015-03,Staten Island,27
2015-03-12,2015-03,Unknown,25
2015-03-13,2015-03,Bronx,1158
2015-03-13,2015-03,Brooklyn,11907
2015-03-13,2015-03,Manhattan,59186
2015-03-13,2015-03,Queens,6948
2015-03-13,2015-03,Staten Island,36
2015-03-13,2015-03,Unknown,37
2015-03-14,2015-03,Bronx,1265
2015-03-14,2015-03,Brooklyn,16330
2015-03-14,2015-03,Manhattan,65886
2015-03-14,2015-03,Queens,7390
2015-03-14,2015-03,Staten Island,47
2015-03-14,2015-03,Unknown,38
2015-03-15,2015-03,Bronx,1129
2015-03-15,2015-03,Brooklyn,12603
2015-03-15,2015-03,EWR,1
2015-03-15,2015-03,Manhattan,42384
2015-03-15,2015-03,Queens,7264
2015-03-15,2015-03,Staten Island,20
2015-03-15,2015-03,Unknown,20
2015-03-16,2015-03,Bronx,799
2015-03-16,2015-03,Brooklyn,8300
2015-03-16,2015-03,Manhattan,38234
2015-03-16,2015-03,Queens,7432
2015-03-16,2015-03,Staten Island,35
2015-03-16,2015-03,Unknown,24
2015-03-17,2015-03,Bronx,869
2015-03-17,2015-03,Brooklyn,9575
2015-03-17,2015-03,Manhattan,46536
2015-03-17,2015-03,Queens,5846
2015-03-17,2015-03,Staten Island,28
2015-03-17,2015-03,Unknown,32
2015-03-18,2015-03,Bronx,973
2015-03-18,2015-03,Brooklyn,10090
2015-03-18,2015-03,Manhattan,52747
2015-03-18,2015-03,Queens,6511
2015-03-18,2015-03,Staten Island,37
2015-03-18,2015-03,Unknown,26
2015-03-19,2015-03,Bronx,951
2015-03-19,2015-03,Brooklyn,10371
2015-03-19,2015-03,Manhattan,57016
2015-03-19,2015-03,Queens,7449
2015-03-19,2015-03,Staten Island,25
2015-03-19,2015-03,Unknown,27
2015-03-20,2015-03,Bronx,1327
2015-03-20,2015-03,Brooklyn,13302
2015-03-20,2015-03,Manhattan,72863
2015-03-20,2015-03,Queens,7698
2015-03-20,2015-03,Staten Island,44
2015-03-20,2015-03,Unknown,39
2015-03-21,2015-03,Bronx,1262
2015-03-21,2015-03,Brooklyn,15506
2015-03-21,2015-03,EWR,1
2015-03-21,2015-03,Manhattan,55569
2015-03-21,2015-03,Queens,8308
2015-03-21,2015-03,Staten Island,39
2015-03-21,2015-03,Unknown,60
2015-03-22,2015-03,Bronx,1157
2015-03-22,2015-03,Brooklyn,13998
2015-03-22,2015-03,Manhattan,44994
2015-03-22,2015-03,Queens,9123
2015-03-22,2015-03,Staten Island,35
2015-03-22,2015-03,Unknown,30
2015-03-23,2015-03,Bronx,942
2015-03-23,2015-03,Brooklyn,8964
2015-03-23,2015-03,EWR,1
2015-03-23,2015-03,Manhattan,42730
2015-03-23,2015-03,Queens,7803
2015-03-23,2015-03,Staten Island,35
2015-03-23,2015-03,Unknown,23
2015-03-24,2015-03,Bronx,916
2015-03-24,2015-03,Brooklyn,9330
2015-03-24,2015-03,Manhattan,47776
2015-03-24,2015-03,Queens,6323
2015-03-24,2015-03,Staten Island,32
2015-03-24,2015-03,Unknown,23
2015-03-25,2015-03,Bronx,1013
2015-03-25,2015-03,Brooklyn,10383
2015-03-25,2015-03,Manhattan,56141
2015-03-25,2015-03,Queens,6358
2015-03-25,2015-03,Staten Island,30
2015-03-25,2015-03,Unknown,28
2015-03-26,2015-03,Bronx,1013
2015-03-26,2015-03,Brooklyn,10759
2015-03-26,2015-03,EWR,2
2015-03-26,2015-03,Manhattan,60107
2015-03-26,2015-03,Queens,6610
2015-03-26,2015-03,Staten Island,31
2015-03-26,2015-03,Unknown,30
2015-03-27,2015-03,Bronx,1202
2015-03-27,2015-03,Brooklyn,12983
2015-03-27,2015-03,Manhattan,62198
2015-03-27,2015-03,Queens,8505
2015-03-27,2015-03,Staten Island,49
2015-03-27,2015-03,Unknown,40
2015-03-28,2015-03,Bronx,1562
2015-03-28,2015-03,Brooklyn,17631
2015-03-28,2015-03,Manhattan,65149
2015-03-28,2015-03,Queens,8094
2015-03-28,2015-03,Staten Island,53
2015-03-28,2015-03,Unknown,38
2015-03-29,2015-03,Bronx,1154
2015-03-29,2015-03,Brooklyn,14671
2015-03-29,2015-03,Manhattan,50464
2015-03-29,2015-03,Queens,9294
2015-03-29,2015-03,Staten Island,37
2015-03-29,2015-03,Unknown,28
2015-03-30,2015-03,Bronx,902
2015-03-30,2015-03,Brooklyn,9233
2015-03-30,2015-03,Manhattan,44983
2015-03-30,2015-03,Queens,7616
2015-03-30,2015-03,Staten Island,26
2015-03-30,2015-03,Unknown,20
2015-03-31,2015-03,Bronx,971
2015-03-31,2015-03,Brooklyn,10352
2015-03-31,2015-03,EWR,1
2015-03-31,2015-03,Manhattan,61207
2015-03-31,2015-03,Queens,6315
2015-03-31,2015-03,Staten Island,22
2015-03-31,2015-03,Unknown,25
2015-04-01,2015-04,Bronx,913
2015-04-01,2015-04,Brooklyn,10176
2015-04-01,2015-04,Manhattan,52074
2015-04-01,2015-04,Queens,6017
2015-04-01,2015-04,Staten Island,22
2015-04-01,2015-04,Unknown,21
2015-04-02,2015-04,Bronx,1018
2015-04-02,2015-04,Brooklyn,10803
2015-04-02,2015-04,EWR,1
2015-04-02,2015-04,Manhattan,55528
2015-04-02,2015-04,Queens,6664
2015-04-02,2015-04,Staten Island,30
2015-04-02,2015-04,Unknown,25
2015-04-03,2015-04,Bronx,1004
2015-04-03,2015-04,Brooklyn,12729
2015-04-03,2015-04,Manhattan,55482
2015-04-03,2015-04,Queens,6706
2015-04-03,2015-04,Staten Island,36
2015-04-03,2015-04,Unknown,26
2015-04-04,2015-04,Bronx,1219
2015-04-04,2015-04,Brooklyn,15246
2015-04-04,2015-04,Manhattan,46778
2015-04-04,2015-04,Queens,5892
2015-04-04,2015-04,Staten Island,32
2015-04-04,2015-04,Unknown,22
2015-04-05,2015-04,Bronx,1100
2015-04-05,2015-04,Brooklyn,13358
2015-04-05,2015-04,Manhattan,36292
2015-04-05,2015-04,Queens,7547
2015-04-05,2015-04,Staten Island,35
2015-04-05,2015-04,Unknown,25
2015-04-06,2015-04,Bronx,992
2015-04-06,2015-04,Brooklyn,8247
2015-04-06,2015-04,EWR,1
2015-04-06,2015-04,Manhattan,37407
2015-04-06,2015-04,Queens,6860
2015-04-06,2015-04,Staten Island,23
2015-04-06,2015-04,Unknown,35
2015-04-07,2015-04,Bronx,825
2015-04-07,2015-04,Brooklyn,9419
2015-04-07,2015-04,EWR,1
2015-04-07,2015-04,Manhattan,52161
2015-04-07,2015-04,Queens,5634
2015-04-07,2015-04,Staten Island,23
2015-04-07,2015-04,Unknown,16
2015-04-08,2015-04,Bronx,943
2015-04-08,2015-04,Brooklyn,10243
2015-04-08,2015-04,Manhattan,54948
2015-04-08,2015-04,Queens,5838
2015-04-08,2015-04,Staten Island,27
2015-04-08,2015-04,Unknown,24
2015-04-09,2015-04,Bronx,1026
2015-04-09,2015-04,Brooklyn,10462
2015-04-09,2015-04,EWR,1
2015-04-09,2015-04,Manhattan,59232
2015-04-09,2015-04,Queens,6733
2015-04-09,2015-04,Staten Island,39
2015-04-09,2015-04,Unknown,27
2015-04-10,2015-04,Bronx,1268
2015-04-10,2015-04,Brooklyn,12261
2015-04-10,2015-04,Manhattan,60512
2015-04-10,2015-04,Queens,7342
2015-04-10,2015-04,Staten Island,29
2015-04-10,2015-04,Unknown,27
2015-04-11,2015-04,Bronx,1548
2015-04-11,2015-04,Brooklyn,17338
2015-04-11,2015-04,Manhattan,56136
2015-04-11,2015-04,Queens,7428
2015-04-11,2015-04,Staten Island,50
2015-04-11,2015-04,Unknown,47
2015-04-12,2015-04,Bronx,1232
2015-04-12,2015-04,Brooklyn,15365
2015-04-12,2015-04,EWR,1
2015-04-12,2015-04,Manhattan,42529
2015-04-12,2015-04,Queens,8519
2015-04-12,2015-04,Staten Island,49
2015-04-12,2015-04,Unknown,31
2015-04-13,2015-04,Bronx,902
2015-04-13,2015-04,Brooklyn,8940
2015-04-13,2015-04,EWR,1
2015-04-13,2015-04,Manhattan,38862
2015-04-13,2015-04,Queens,7896
2015-04-13,2015-04,Staten Island,24
2015-04-13,2015-04,Unknown,30
2015-04-14,2015-04,Bronx,807
2015-04-14,2015-04,Brooklyn,9224
2015-04-14,2015-04,Manhattan,46827
2015-04-14,2015-04,Queens,6480
2015-04-14,2015-04,Staten Island,31
2015-04-14,2015-04,Unknown,24
2015-04-15,2015-04,Bronx,961
2015-04-15,2015-04,Brooklyn,10273
2015-04-15,2015-04,Manhattan,48908
2015-04-15,2015-04,Queens,6324
2015-04-15,2015-04,Staten Island,37
2015-04-15,2015-04,Unknown,31
2015-04-16,2015-04,Bronx,1149
2015-04-16,2015-04,Brooklyn,11220
2015-04-16,2015-04,EWR,1
2015-04-16,2015-04,Manhattan,58996
2015-04-16,2015-04,Queens,7381
2015-04-16,2015-04,Staten Island,31
2015-04-16,2015-04,Unknown,30
2015-04-17,2015-04,Bronx,1252
2015-04-17,2015-04,Brooklyn,13145
2015-04-17,2015-04,Manhattan,61338
2015-04-17,2015-04,Queens,8048
2015-04-17,2015-04,Staten Island,25
2015-04-17,2015-04,Unknown,47
2015-04-18,2015-04,Bronx,1468
2015-04-18,2015-04,Brooklyn,20605
2015-04-18,2015-04,Manhattan,64281
2015-04-18,2015-04,Queens,7749
2015-04-18,2015-04,Staten Island,51
2015-04-18,2015-04,Unknown,42
2015-04-19,2015-04,Bronx,1263
2015-04-19,2015-04,Brooklyn,17348
2015-04-19,2015-04,Manhattan,50674
2015-04-19,2015-04,Queens,8759
2015-04-19,2015-04,Staten Island,33
2015-04-19,2015-04,Unknown,30
2015-04-20,2015-04,Bronx,999
2015-04-20,2015-04,Brooklyn,11153
2015-04-20,2015-04,Manhattan,58518
2015-04-20,2015-04,Queens,7350
