pickup_date,pickup_month,base,base_name,trips,vehicles
2015-06-23,2015-06,B02152,"KYOEI LIMOUSINE, INC.",14,0
2015-06-23,2015-06,B02155,ABA LUXURY CAR INC.,16,12
2015-06-23,2015-06,B02157,REAGAN CONVEYANCE  CORP.,151,84
2015-06-23,2015-06,B02160,"12TH STREET LUXURY CARS, INC.",6,6
2015-06-23,2015-06,B02167,MADISON LIMOUSINE INC,2,0
2015-06-23,2015-06,B02175,MURRAY'S LIMOUSINE SERVICE INC.,4,4
2015-06-23,2015-06,B02180,PEGASUS TRANSPORT SERVICE INC.,45,25
2015-06-23,2015-06,B02182,"FINEST CAR SERVICE, LLC",12,3
2015-06-23,2015-06,B02191,US LIMO SYSTEM INC,56,20
2015-06-23,2015-06,B02217,PCS LIMOUSINE INC.,38,11
2015-06-23,2015-06,B02240,NEW APPLE TRANS. INC.,13,8
2015-06-23,2015-06,B02241,"MARU & KITANO, INC.",51,0
2015-06-23,2015-06,B02248,HYBRID LIMO EXPRESS INC.,8,1
2015-06-23,2015-06,B02252,ASIANA LIMOUSINE INC.,2,1
2015-06-23,2015-06,B02265,"COUNTY CAR SERVICE, INC.",25,3
2015-06-23,2015-06,B02285,"VALERA GLOBAL, INC.",253,91
2015-06-23,2015-06,B02287,"ROAD NEW YORK ENTERPRISES, INC.",4,3
2015-06-23,2015-06,B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,1,1
2015-06-23,2015-06,B02301,DOUBLE A CAR SERVICE INC.,436,27
2015-06-23,2015-06,B02306,ACCUELIMO LUXURY LLC,81,20
2015-06-23,2015-06,B02308,NORWOOD CAR & LIMO INC.,21,14
2015-06-23,2015-06,B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",28,0
2015-06-23,2015-06,B02389,"EMBARQUE N.Y., INC.",62,15
2015-06-23,2015-06,B02397,CHICO EXPRESS CORP. 2,211,17
2015-06-23,2015-06,B02416,"NEW STORM CAR SERVICE, INC.",50,5
2015-06-23,2015-06,B02440,MLL LIMOUSINE SERVICES INC.,85,0
2015-06-23,2015-06,B02447,"NEW HAMPTON CAR & LIMO, INC.",2,2
2015-06-23,2015-06,B02462,TIFFANY'S CAR SERVICE INC.,82,17
2015-06-23,2015-06,B02468,GROUNDLINK HOLDINGS LLC,142,33
2015-06-23,2015-06,B02470,CRI LIMO INC.,21,10
2015-06-23,2015-06,B02491,CALL THREES LLC,27,4
2015-06-23,2015-06,B02517,LOS PAISANOS LUXURY C/S INC.,10,5
2015-06-23,2015-06,B02532,COZY RIDE LIMOUSINE INC,18,0
2015-06-23,2015-06,B02541,HIBA CAR & LIMO SVC INC.,11,10
2015-06-23,2015-06,B02555,LTM GLOBAL CAR SERVICE,22,0
2015-06-23,2015-06,B02564,LAGUARDIA LUXURY CAR & LIMO,2,1
2015-06-23,2015-06,B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",79,40
2015-06-23,2015-06,B02590,LUXOR LIMO INC,64,0
2015-06-23,2015-06,B02611,SS LIMOUSINE SERVICE INC,24,9
2015-06-23,2015-06,B02631,"CONFIDENTIAL HOLDINGS, LLC",7,4
2015-06-23,2015-06,B02633,USHLS CORP,4,3
2015-06-23,2015-06,B02637,ROOSEVELT CAR & LIMO INC.,10,9
2015-06-23,2015-06,B02653,NEW COLLEGE CAR SVCE INC,744,106
2015-06-23,2015-06,B02661,MIC-LOU CAR SERVICES_LLC,81,0
2015-06-23,2015-06,B02666,"D.L.C. LIMOUSINE SERVICE, INC.",5,5
2015-06-23,2015-06,B02674,ELAL CAR LIMO SERVICE LLC,50,5
2015-06-23,2015-06,B02675,FRIELECH CAR & LIMO SERVICE INC,47,7
2015-06-23,2015-06,B02681,DIRECT CAR & LIMO SERVICE INC.,18,6
2015-06-23,2015-06,B02689,OCS LIMO CORP.,6,2
2015-06-23,2015-06,B02694,CITY LIMOUSINE TRANSPORTATION INC.,7,6
2015-06-23,2015-06,B02711,204 CAR & LIMO INC,4,2
2015-06-23,2015-06,B02715,GROUNDANYWHERE LLC,530,141
2015-06-23,2015-06,B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",200,1
2015-06-23,2015-06,B02723,CHARLIE BLACK CAR INC,113,0
2015-06-23,2015-06,B02751,RELIANCE GROUP INC,5,5
2015-06-23,2015-06,B02754,TIGER CAR SERVICE INC.,1,1
2015-06-23,2015-06,B02808,INVASORA EXPRESS CAR SERVICE CORP.,16,4
2015-06-23,2015-06,B02821,E5 TRANSPORTATION SOLUTIONS INC.,53,6
2015-06-24,2015-06,B00008,T-D MAINTENANCE CORP,211,16
2015-06-24,2015-06,B00009,T-D MAINTENANCE,408,15
2015-06-24,2015-06,B00013,LOVE CORP CAR INC,419,109
2015-06-24,2015-06,B00014,NY ONE CORP CAR INC,578,146
2015-06-24,2015-06,B00030,TREMONT DISPATCHING CORP,19,2
2015-06-24,2015-06,B00037,TRANSP UNLIMITED C/S,363,45
2015-06-24,2015-06,B00083,PAGE-A-RIDE INC,3,2
2015-06-24,2015-06,B00095,LIBERTY CAR SERVICE INC.,658,68
2015-06-24,2015-06,B00170,EMUNAH CAR SERVICE INC,48,9
2015-06-24,2015-06,B00202,"EXCELSIOR CAR & LIMO, INC.",49,15
2015-06-24,2015-06,B00208,ERNEST SCHWARZ INC,6,4
2015-06-24,2015-06,B00210,QUEENS DISPATCH SVC INC.,40,12
2015-06-24,2015-06,B00221,PROFESSIONAL CAR SERVICE INC,585,85
2015-06-24,2015-06,B00227,"PARK WEST EXEC. SERVICES, INC.",535,168
2015-06-24,2015-06,B00235,"ARISTACAR & LIMOUSINE, LTD.",42,16
2015-06-24,2015-06,B00236,LAST RADIO GROUP CORP.,39,14
2015-06-24,2015-06,B00248,YELLOWSTONE TRANSPORTATION INC.,1000,118
2015-06-24,2015-06,B00254,XYZ TWO WAY RADIO,1230,276
