pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
2019-02-24,2019-02,HV0003,Uber,Brooklyn,144915,618508.44,146748947,1852311.53,40058.45,1905419.58,0.0,45511.25,42595,33037,0.0
2019-02-24,2019-02,HV0003,Uber,Manhattan,217909,1032920.1,227049365,3372333.33,94786.34,3395543.72,0.0,424422.25,46771,38652,0.0
2019-02-24,2019-02,HV0003,Uber,Queens,91626,617188.46,102565948,1639434.34,48288.88,1651771.1,0.0,32554.5,26681,17216,0.0
2019-02-24,2019-02,HV0003,Uber,Staten Island,5243,30048.99,4821917,77591.09,2845.8,80291.25,0.0,377.5,1809,844,0.0
2019-02-24,2019-02,HV0003,Uber,Unknown,27,156.86,29456,411.9,7.5,466.13,0.0,0.0,10,8,0.0
2019-02-25,2019-02,HV0003,Uber,Bronx,66426,253972.09,64468705,666734.36,8721.27,790846.37,0.0,4952.5,23991,16915,0.0
2019-02-25,2019-02,HV0003,Uber,Brooklyn,114240,448311.45,121658574,1434866.33,29858.0,1477413.42,0.0,25786.5,39865,29646,0.0
2019-02-25,2019-02,HV0003,Uber,Manhattan,186081,851799.94,207884462,3081114.86,95648.03,3066326.17,0.0,363888.75,41266,32949,0.0
2019-02-25,2019-02,HV0003,Uber,Queens,79914,525597.13,97699316,1528106.61,46178.02,1517514.8,0.0,27958.5,23719,13830,0.0
2019-02-25,2019-02,HV0003,Uber,Staten Island,5291,27021.97,4916378,73767.61,2631.13,76851.31,0.0,300.25,1854,1002,0.0
2019-02-25,2019-02,HV0003,Uber,Unknown,25,113.04,22998,514.8100000000001,17.0,459.01,0.0,11.75,3,2,0.0
2019-02-26,2019-02,HV0003,Uber,Bronx,66619,253104.01,66479519,680538.29,9811.28,797237.34,0.0,4966.75,23294,16447,0.0
2019-02-26,2019-02,HV0003,Uber,Brooklyn,113562,436163.25,124697461,1444294.04,29830.09,1481104.92,0.0,27235.5,38128,28307,0.0
2019-02-26,2019-02,HV0003,Uber,Manhattan,203431,939942.7,239621873,3566747.21,115932.19,3520259.0,0.0,406098.5,41898,33589,0.0
2019-02-26,2019-02,HV0003,Uber,Queens,78852,499658.16,95337227,1480311.57,45923.0,1468378.12,0.0,27311.75,23040,13504,0.0
2019-02-26,2019-02,HV0003,Uber,Staten Island,5241,24904.58,4734621,69612.97,2683.02,72593.77,0.0,311.5,1852,946,0.0
2019-02-26,2019-02,HV0003,Uber,Unknown,24,100.57,23920,370.65,19.0,377.25,0.0,8.25,7,5,0.0
2019-02-27,2019-02,HV0003,Uber,Bronx,71730,274468.45,69295683,747295.24,10459.22,853625.42,0.0,5814.5,23914,16598,0.0
2019-02-27,2019-02,HV0003,Uber,Brooklyn,123477,477241.66,132686690,1581579.41,32483.28,1597785.89,0.0,28975.5,39499,29146,0.0
2019-02-27,2019-02,HV0003,Uber,Manhattan,221473,1053097.31,265160719,3969569.85,128890.58,3921401.24,0.0,441374.75,44466,35750,0.0
2019-02-27,2019-02,HV0003,Uber,Queens,82097,515174.2,99084795,1531778.54,45940.47,1516016.05,0.0,27504.5,23375,13559,0.0
2019-02-27,2019-02,HV0003,Uber,Staten Island,5771,28579.12,5370772,80712.42,3085.29,82164.61,0.0,327.75,1999,975,0.0
2019-02-27,2019-02,HV0003,Uber,Unknown,16,76.64,17762,317.06,2.0,271.85,0.0,8.25,5,0,0.0
2019-02-28,2019-02,HV0003,Uber,Bronx,72906,282132.92,74529076,805579.73,10865.75,912911.59,0.0,5941.0,22661,16083,0.0
2019-02-28,2019-02,HV0003,Uber,Brooklyn,126080,491611.64,141294050,1702140.78,34625.74,1703135.43,0.0,30448.0,37498,27866,0.0
2019-02-28,2019-02,HV0003,Uber,Manhattan,226217,1118267.57,295124413,4438088.71,142779.05,4369870.65,0.0,452390.5,43322,35415,0.0
2019-02-28,2019-02,HV0003,Uber,Queens,86036,545163.09,112454329,1692136.45,51581.71,1676777.23,0.0,29700.0,22737,13362,0.0
2019-02-28,2019-02,HV0003,Uber,Staten Island,5941,29721.35,5738263,84191.22,2754.3,85778.95,0.0,311.0,2007,980,0.0
2019-02-28,2019-02,HV0003,Uber,Unknown,31,103.11,27086,454.08,0.0,408.85,0.0,9.0,12,5,0.0
2019-03-01,2019-03,HV0003,Uber,Bronx,85173,328927.76,88757365,967728.36,12717.43,1108818.3,0.0,6920.75,25648,19164,0.0
2019-03-01,2019-03,HV0003,Uber,Brooklyn,143838,562067.67,159664546,1959665.56,40458.35,1958829.22,0.0,35946.75,40724,30806,0.0
2019-03-01,2019-03,HV0003,Uber,EWR,13,38.34,18352,342.45,0.0,313.92,0.0,0.0,3,3,0.0
2019-03-01,2019-03,HV0003,Uber,Manhattan,248978,1107956.48,298868602,4342262.13,127714.1,4277427.29,0.0,500666.5,47953,39662,0.0
2019-03-01,2019-03,HV0003,Uber,Queens,98666,607786.54,125099563,1865657.76,53800.51,1848419.2,0.0,30734.5,25413,15391,0.0
